cidr,countrycode
5.44.154.0/24,NL
5.44.160.0/21,FR
5.44.168.0/21,RU
5.44.176.0/21,SE
5.44.191.0/24,EE
5.44.192.0/20,SE
5.44.208.0/21,AT
5.44.216.0/21,LV
5.44.224.0/21,GB
5.44.240.0/21,FI
5.44.248.0/24,IN
5.44.249.0/24,LT
5.44.250.0/24,US
5.44.251.0/24,AU
5.44.252.0/24,UA
5.44.253.0/24,GB
5.44.254.0/24,PS
5.45.0.0/21,DE
5.45.8.0/21,ES
5.45.16.0/23,GB
5.45.19.0/24,CA
5.45.20.0/22,GB
5.45.32.0/22,NL
5.45.36.0/23,GB
5.45.38.0/24,RO
5.45.39.0/24,TR
5.45.40.0/22,FR
5.45.44.0/22,LV
